# This file was produced by the NASA Exoplanet Archive  http://exoplanetarchive.ipac.caltech.edu
# Tue Aug 18 14:15:05 2015
#
# COLUMN pl_hostname:    (not found)
# COLUMN pl_letter:      Planet Letter
# COLUMN pl_orbper:      Orbital Period [days]
# COLUMN st_teff:        Effective Temperature [K]
# COLUMN st_rad:         Stellar Radius [Solar radii]
# COLUMN pl_eqt:         Equilibrium Temperature [K]
# COLUMN pl_trandep:     Transit Depth [percent]
# COLUMN pl_trandur:     Transit Duration [days]
# COLUMN pl_imppar:      Impact Parameter
# COLUMN st_logg:        Stellar Surface Gravity [log10(cm/s**2)]
#
rowid,pl_hostname,pl_letter,pl_orbper,st_teff,st_rad,pl_eqt,pl_trandep,pl_trandur,pl_imppar,st_logg
1,11 Com,b,326.03000000,4742.00,19.00,,,,,2.31
2,11 UMi,b,516.22000000,4340.00,24.08,,,,,1.60
3,14 And,b,185.84000000,4813.00,11.00,,,,,2.63
4,14 Her,b,1773.40000000,5311.00,,,,,,
5,16 Cyg B,b,798.50000000,5674.00,,,,,,4.36
6,18 Del,b,993.30000000,4979.00,8.50,,,,,2.82
7,1RXS J160929.1-210524,b,,4060.00,,1700,,,,
8,24 Sex,b,452.80000000,5098.00,4.90,,,,,3.50
9,24 Sex,c,883.00000000,5098.00,4.90,,,,,3.50
10,2MASS J01225093-2439505,b,,3530.00,,,,,,
11,2MASS J02192210-3925225,b,,3064.00,0.28,,,,,4.59
12,2MASS J04414489+2301513,b,,,,,,,,
13,2MASS J12073346-3932539,b,,,,1150,,,,
14,2MASS J19383260+4603591,b,416.00000000,,,,,,,
15,2MASS J21402931+1625183 A,b,7336.50000000,2300.00,0.12,2075,,,,
16,30 Ari B,b,335.10000000,6300.00,1.13,,,,,4.50
17,4 UMa,b,269.30000000,4415.00,18.11,,,,,1.80
18,42 Dra,b,479.10000000,4200.00,22.03,,,,,1.71
19,47 UMa,b,1078.00000000,5892.00,1.23,,,,,4.27
20,47 UMa,c,2391.00000000,5892.00,1.23,,,,,4.27
21,47 UMa,d,14002.00000000,5892.00,1.23,,,,,4.27
22,51 Eri,b,,,,700,,,,
23,51 Peg,b,4.23078500,5793.00,1.20,,,,,4.33
24,55 Cnc,b,14.65152000,5196.00,0.94,,,,,4.45
25,55 Cnc,c,44.41750000,5196.00,0.94,,,,,4.45
26,55 Cnc,d,4825.00000000,5196.00,0.94,,,,,4.45
